policy_number,customer_id,customer_age,customer_age_group,insurance_type,insurer,sale_date,sale_year,sale_month,sale_quarter,valid_from,valid_until,policy_duration_days,premium,currency,amount_paid,remaining_amount,policy_status,payment_status,claim_count,open_claim_count,total_estimated_claim_value
POL-2025-001,CUST-00A1,29,26-35,Putno,Uniqa,2025-01-12,2025,1,Q1,2025-01-12,2026-01-12,365,4200,RSD,4200,0,Istekla,Plaćeno,0,0,0
POL-2025-002,CUST-00A2,44,36-45,Auto,Generali,2025-01-25,2025,1,Q1,2025-01-25,2026-01-25,365,28500,RSD,28500,0,Istekla,Plaćeno,1,0,9000
POL-2025-003,CUST-00A3,34,26-35,Putno,Sava,2025-02-08,2025,2,Q1,2025-02-08,2026-02-08,365,3900,RSD,3900,0,Istekla,Plaćeno,0,0,0
POL-2025-004,CUST-00A4,52,46-55,Privatna svojina,Milenijum,2025-02-19,2025,2,Q1,2025-02-19,2026-02-19,365,16400,RSD,16400,0,Istekla,Plaćeno,1,0,45000
POL-2025-005,CUST-00A5,40,36-45,DZO,Uniqa,2025-03-14,2025,3,Q1,2025-03-14,2026-03-14,365,13200,RSD,9900,3300,Istekla,Delimično plaćeno,0,0,0
POL-2025-006,CUST-00A6,31,26-35,Putno,Generali,2025-04-02,2025,4,Q2,2025-04-02,2026-04-02,365,4100,RSD,4100,0,Istekla,Plaćeno,0,0,0
POL-2025-007,CUST-00A7,47,46-55,Auto,Sava,2025-05-21,2025,5,Q2,2025-05-21,2026-05-21,365,31200,RSD,24960,6240,Istekla,Delimično plaćeno,1,0,18000
POL-2025-008,CUST-00A8,26,26-35,Putno,Uniqa,2025-06-05,2025,6,Q2,2025-06-05,2026-06-05,365,4700,RSD,4700,0,Istekla,Plaćeno,0,0,0
POL-2025-009,CUST-00A9,38,36-45,Putno,Milenijum,2025-06-18,2025,6,Q2,2025-06-18,2026-06-18,365,5200,RSD,5200,0,Istekla,Plaćeno,1,0,1800
POL-2025-010,CUST-00B0,23,18-25,Putno,Sava,2025-07-03,2025,7,Q3,2025-07-03,2026-07-03,365,4500,RSD,4500,0,Istekla,Plaćeno,0,0,0
POL-2025-011,CUST-00B1,35,26-35,Putno,Generali,2025-07-17,2025,7,Q3,2025-07-17,2026-07-17,365,5600,RSD,4200,1400,Istekla,Delimično plaćeno,0,0,0
POL-2025-012,CUST-00B2,49,46-55,Auto,Uniqa,2025-08-09,2025,8,Q3,2025-08-09,2026-08-09,365,33600,RSD,33600,0,Istekla,Plaćeno,1,0,22000
POL-2025-013,CUST-00B3,42,36-45,DZO,Milenijum,2025-09-11,2025,9,Q3,2025-09-11,2026-09-11,365,14800,RSD,7400,7400,Aktivna,Delimično plaćeno,0,0,0
POL-2025-014,CUST-00B4,55,46-55,Privatna svojina,Sava,2025-10-06,2025,10,Q4,2025-10-06,2026-10-06,365,18200,RSD,18200,0,Aktivna,Plaćeno,1,1,67000
POL-2025-015,CUST-00B5,28,26-35,Putno,Uniqa,2025-12-08,2025,12,Q4,2025-12-08,2026-12-08,365,4900,RSD,4900,0,Aktivna,Plaćeno,0,0,0
POL-2025-016,CUST-00B6,36,36-45,Putno,Generali,2025-12-22,2025,12,Q4,2025-12-22,2026-12-22,365,5400,RSD,4050,1350,Aktivna,Delimično plaćeno,0,0,0
POL-2026-001,CUST-00C1,30,26-35,Putno,Uniqa,2026-01-10,2026,1,Q1,2026-01-10,2027-01-10,365,4600,RSD,4600,0,Aktivna,Plaćeno,0,0,0
POL-2026-002,CUST-00C2,45,36-45,Auto,Generali,2026-01-24,2026,1,Q1,2026-01-24,2027-01-24,365,29800,RSD,23840,5960,Aktivna,Delimično plaćeno,1,1,12500
POL-2026-003,CUST-00C3,33,26-35,Putno,Sava,2026-02-07,2026,2,Q1,2026-02-07,2027-02-07,365,4300,RSD,4300,0,Aktivna,Plaćeno,0,0,0
POL-2026-004,CUST-00C4,53,46-55,Privatna svojina,Milenijum,2026-02-20,2026,2,Q1,2026-02-20,2027-02-20,365,17100,RSD,13680,3420,Aktivna,Delimično plaćeno,1,1,52000
POL-2026-005,CUST-00C5,41,36-45,DZO,Uniqa,2026-03-15,2026,3,Q1,2026-03-15,2027-03-15,365,13900,RSD,13900,0,Aktivna,Plaćeno,0,0,0
POL-2026-006,CUST-00C6,32,26-35,Putno,Generali,2026-04-04,2026,4,Q2,2026-04-04,2027-04-04,365,4400,RSD,3300,1100,Aktivna,Delimično plaćeno,0,0,0
POL-2026-007,CUST-00C7,48,46-55,Auto,Sava,2026-05-19,2026,5,Q2,2026-05-19,2027-05-19,365,32600,RSD,16300,16300,Aktivna,Delimično plaćeno,1,1,24000
POL-2026-008,CUST-00C8,25,18-25,Putno,Uniqa,2026-06-03,2026,6,Q2,2026-06-03,2027-06-03,365,5100,RSD,5100,0,Aktivna,Plaćeno,0,0,0
POL-2026-009,CUST-00C9,39,36-45,Putno,Milenijum,2026-06-16,2026,6,Q2,2026-06-16,2027-06-16,365,5700,RSD,4275,1425,Aktivna,Delimično plaćeno,1,1,2100
POL-2026-010,CUST-00D0,24,18-25,Putno,Sava,2026-07-02,2026,7,Q3,2026-07-02,2027-07-02,365,4900,RSD,4900,0,Aktivna,Plaćeno,0,0,0
POL-2026-011,CUST-00D1,36,36-45,Putno,Generali,2026-07-17,2026,7,Q3,2026-07-17,2027-07-17,365,6100,RSD,3050,3050,Aktivna,Delimično plaćeno,0,0,0
POL-2026-012,CUST-00D2,50,46-55,Auto,Uniqa,2026-08-11,2026,8,Q3,2026-08-11,2027-08-11,365,35200,RSD,26400,8800,Aktivna,Delimično plaćeno,1,1,28000
POL-2026-013,CUST-00D3,43,36-45,DZO,Milenijum,2026-09-06,2026,9,Q3,2026-09-06,2027-09-06,365,15600,RSD,7800,7800,Aktivna,Delimično plaćeno,0,0,0
POL-2026-014,CUST-00D4,56,56-65,Privatna svojina,Sava,2026-10-05,2026,10,Q4,2026-10-05,2027-10-05,365,19500,RSD,0,19500,Nacrt,Neplaćeno,0,0,0
POL-2026-015,CUST-00D5,29,26-35,Putno,Uniqa,2026-12-07,2026,12,Q4,2026-12-07,2027-12-07,365,5400,RSD,0,5400,Nacrt,Neplaćeno,0,0,0
POL-2026-016,CUST-00D6,37,36-45,Putno,Generali,2026-12-20,2026,12,Q4,2026-12-20,2027-12-20,365,5900,RSD,0,5900,Nacrt,Neplaćeno,0,0,0
POL-2026-E01,CUST-00E1,35,26-35,Putno,Uniqa,2026-06-12,2026,6,Q2,2026-06-12,2027-06-12,365,95,EUR,95,0,Aktivna,Plaćeno,0,0,0
POL-2026-E02,CUST-00E2,46,46-55,Auto,Generali,2026-07-08,2026,7,Q3,2026-07-08,2027-07-08,365,420,EUR,315,105,Aktivna,Delimično plaćeno,1,1,110
POL-2026-E03,CUST-00E3,51,46-55,Privatna svojina,Sava,2026-08-15,2026,8,Q3,2026-08-15,2027-08-15,365,280,EUR,280,0,Aktivna,Plaćeno,0,0,0
POL-2026-E04,CUST-00E4,40,36-45,DZO,Milenijum,2026-09-04,2026,9,Q3,2026-09-04,2027-09-04,365,160,EUR,80,80,Aktivna,Delimično plaćeno,1,1,45
